ref_date,sector,value,yoy_pct
2021-05-01,Motor vehicle and parts dealers,2277351,41.61001377329101
2021-05-01,Building material and garden equipment and supplies dealers,793349,23.033798474617797
2021-05-01,Food and beverage retailers,1945917,-1.151938896491611
2021-05-01,"Furniture, home furnishings stores, electronics and appliances retailers",544543,39.955485076448994
2021-05-01,General merchandise retailers,1011956,10.041985235029237
2021-05-01,Health and personal care retailers,621142,8.12887547306449
2021-05-01,Gasoline stations and fuel vendors,844221,67.2645535562151
2021-05-01,Clothing and clothing accessories retailers,361365,100.14012273200557
2021-05-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",250989,45.52870984014332
2021-05-01,Miscellaneous retailers,409234,28.418159053324253
2021-06-01,All Retail Trade,9206753,13.726391443968634
2021-06-01,Motor vehicle and parts dealers,2384773,21.431582956613493
2021-06-01,Building material and garden equipment and supplies dealers,700953,21.131105131913873
2021-06-01,Food and beverage retailers,1895117,1.5410787336814336
2021-06-01,"Furniture, home furnishings stores, electronics and appliances retailers",530670,7.055965979011236
2021-06-01,General merchandise retailers,974605,7.6674852711945185
2021-06-01,Health and personal care retailers,623354,10.319745576885309
2021-06-01,Gasoline stations and fuel vendors,865115,19.300865747137852
2021-06-01,Clothing and clothing accessories retailers,452443,36.5037366005835
2021-06-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",246411,8.453636379641205
2021-06-01,Miscellaneous retailers,421616,18.945666801143133
2021-07-01,All Retail Trade,9231898,8.947211589694515
2021-07-01,Motor vehicle and parts dealers,2265564,17.493149235680818
2021-07-01,Building material and garden equipment and supplies dealers,628280,4.949294330085485
2021-07-01,Food and beverage retailers,2018967,-1.5349868638014907
2021-07-01,"Furniture, home furnishings stores, electronics and appliances retailers",536458,3.4092048144464204
2021-07-01,General merchandise retailers,985897,5.18097071054715
2021-07-01,Health and personal care retailers,597385,1.4315209676816876
2021-07-01,Gasoline stations and fuel vendors,998685,20.99860789537771
2021-07-01,Clothing and clothing accessories retailers,424330,19.62190535793824
2021-07-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",243281,5.3255693133604565
2021-07-01,Miscellaneous retailers,432783,24.29721067022035
2021-08-01,All Retail Trade,8964448,8.057434405460073
2021-08-01,Motor vehicle and parts dealers,2192736,22.350005551888398
2021-08-01,Building material and garden equipment and supplies dealers,567508,0.043013482258702496
2021-08-01,Food and beverage retailers,1892363,-5.67820906711114
2021-08-01,"Furniture, home furnishings stores, electronics and appliances retailers",533399,2.8017083540517573
2021-08-01,General merchandise retailers,959152,7.37333018391626
2021-08-01,Health and personal care retailers,597231,-1.3920305384851672
2021-08-01,Gasoline stations and fuel vendors,986239,23.921011332380914
2021-08-01,Clothing and clothing accessories retailers,424023,12.341531524132243
2021-08-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",244725,3.1654694455685917
2021-08-01,Miscellaneous retailers,451938,12.398342643116145
2021-09-01,All Retail Trade,8785290,5.024399883371178
2021-09-01,Motor vehicle and parts dealers,2122792,3.5811962433864863
2021-09-01,Building material and garden equipment and supplies dealers,579437,-2.9060960487952037
2021-09-01,Food and beverage retailers,1856508,0.9522587324822807
2021-09-01,"Furniture, home furnishings stores, electronics and appliances retailers",549168,-1.3400356073277053
2021-09-01,General merchandise retailers,952630,8.941224366568923
2021-09-01,Health and personal care retailers,615297,1.698285351607054
2021-09-01,Gasoline stations and fuel vendors,870794,15.730744746029867
2021-09-01,Clothing and clothing accessories retailers,437277,18.366601159636843
2021-09-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",243794,4.368784488995625
2021-09-01,Miscellaneous retailers,450920,14.323382138556129
2021-10-01,All Retail Trade,8831858,2.8691903801317586
2021-10-01,Motor vehicle and parts dealers,2066890,-1.0392627391798137
2021-10-01,Building material and garden equipment and supplies dealers,549837,-8.504148486875607
2021-10-01,Food and beverage retailers,1925668,-0.8204581998951355
2021-10-01,"Furniture, home furnishings stores, electronics and appliances retailers",533676,-0.053000323994911724
2021-10-01,General merchandise retailers,1019295,10.748635328477295
2021-10-01,Health and personal care retailers,611231,6.2762764851321595
2021-10-01,Gasoline stations and fuel vendors,883833,15.999543263930448
2021-10-01,Clothing and clothing accessories retailers,450591,5.130891273915061
2021-10-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",255696,-2.4995138245421322
2021-10-01,Miscellaneous retailers,431059,13.347988545794465
2021-11-01,All Retail Trade,8815876,4.919753587446785
2021-11-01,Motor vehicle and parts dealers,1910423,7.882669973583067
2021-11-01,Building material and garden equipment and supplies dealers,515344,-1.32292203204194
2021-11-01,Food and beverage retailers,1836072,-1.0258729569193714
2021-11-01,"Furniture, home furnishings stores, electronics and appliances retailers",654155,-4.443074567868055
2021-11-01,General merchandise retailers,1069989,6.940403599231226
2021-11-01,Health and personal care retailers,653094,0.6255450407836927
2021-11-01,Gasoline stations and fuel vendors,842599,29.2958386209246
2021-11-01,Clothing and clothing accessories retailers,514090,11.524494214323845
2021-11-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",282508,-6.654595437604083
2021-11-01,Miscellaneous retailers,420549,3.738338505256622
2021-12-01,All Retail Trade,9225918,2.685495550404049
2021-12-01,Motor vehicle and parts dealers,1779572,-0.53455969808891
2021-12-01,Building material and garden equipment and supplies dealers,455180,-10.354050099162393
2021-12-01,Food and beverage retailers,2083629,0.17976912240551535
2021-12-01,"Furniture, home furnishings stores, electronics and appliances retailers",672908,-10.159505369137378
2021-12-01,General merchandise retailers,1159921,8.170809611071483
2021-12-01,Health and personal care retailers,738260,0.7068824872660251
2021-12-01,Gasoline stations and fuel vendors,758424,24.854349432954635
2021-12-01,Clothing and clothing accessories retailers,599565,21.92128744682409
2021-12-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",329115,-4.392625989146981
2021-12-01,Miscellaneous retailers,473609,4.094236902200321
2022-01-01,All Retail Trade,7547939,-0.36095025901345945
2022-01-01,Motor vehicle and parts dealers,1773503,0.5901543759904371
2022-01-01,Building material and garden equipment and supplies dealers,402035,-19.76806607981385
2022-01-01,Food and beverage retailers,1675580,-5.625424890605634
2022-01-01,"Furniture, home furnishings stores, electronics and appliances retailers",491749,-3.6035771133745786
2022-01-01,General merchandise retailers,801182,6.206569259851369
2022-01-01,Health and personal care retailers,588852,-7.228539829282821
2022-01-01,Gasoline stations and fuel vendors,747188,12.406426766157175
2022-01-01,Clothing and clothing accessories retailers,354758,20.49467084213601
2022-01-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",216141,-0.29936805203192307
2022-01-01,Miscellaneous retailers,416458,9.51121255469538
2022-02-01,All Retail Trade,7468758,1.7863684434317184
2022-02-01,Motor vehicle and parts dealers,1748087,1.0414613521194882
2022-02-01,Building material and garden equipment and supplies dealers,471615,-1.577300891327349
2022-02-01,Food and beverage retailers,1610565,-3.701469263144175
2022-02-01,"Furniture, home furnishings stores, electronics and appliances retailers",467898,3.6121580385574337
2022-02-01,General merchandise retailers,818465,4.363964648622054
2022-02-01,Health and personal care retailers,543046,-6.0498429971540535
2022-02-01,Gasoline stations and fuel vendors,765070,12.349700134513597
2022-02-01,Clothing and clothing accessories retailers,355857,21.781253208309103
2022-02-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",213034,6.423347454240269
2022-02-01,Miscellaneous retailers,381683,0.48917264529717563
2022-03-01,All Retail Trade,8867370,1.936728522791853
2022-03-01,Motor vehicle and parts dealers,2099503,-4.27787689135839
2022-03-01,Building material and garden equipment and supplies dealers,591106,-15.80694048005652
2022-03-01,Food and beverage retailers,1839837,2.3772546553782137
2022-03-01,"Furniture, home furnishings stores, electronics and appliances retailers",550552,7.29644347346492
2022-03-01,General merchandise retailers,953575,6.913094955130306
2022-03-01,Health and personal care retailers,606664,-8.130070220231367
2022-03-01,Gasoline stations and fuel vendors,988708,16.145326736115994
2022-03-01,Clothing and clothing accessories retailers,434200,22.47753262212493
2022-03-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",245122,1.29008264462811
2022-03-01,Miscellaneous retailers,448083,10.319349827288637
2022-04-01,All Retail Trade,9002118,2.061277458936517
2022-04-01,Motor vehicle and parts dealers,2095334,-7.92011288644866
2022-04-01,Building material and garden equipment and supplies dealers,582836,-21.597124508667097
2022-04-01,Food and beverage retailers,1867858,1.6979070308106081
2022-04-01,"Furniture, home furnishings stores, electronics and appliances retailers",546071,12.588940914985791
2022-04-01,General merchandise retailers,1018750,7.152473631288214
2022-04-01,Health and personal care retailers,616307,1.6573774574892841
2022-04-01,Gasoline stations and fuel vendors,1050106,22.822431895988093
2022-04-01,Clothing and clothing accessories retailers,427045,20.601134717323212
2022-04-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",243590,-2.073978186846981
2022-04-01,Miscellaneous retailers,442306,15.993391377320876
2022-05-01,All Retail Trade,9365218,2.253398440609189
2022-05-01,Motor vehicle and parts dealers,2094840,-8.014179632388686
2022-05-01,Building material and garden equipment and supplies dealers,660868,-16.698955944987638
2022-05-01,Food and beverage retailers,1912119,-1.7368675025707714
2022-05-01,"Furniture, home furnishings stores, electronics and appliances retailers",549715,0.9497872527973072
2022-05-01,General merchandise retailers,1070396,5.774954642296692
2022-05-01,Health and personal care retailers,618657,-0.4000695493140083
2022-05-01,Gasoline stations and fuel vendors,1207481,43.02901728338906
2022-05-01,Clothing and clothing accessories retailers,433717,20.021861552723696
2022-05-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",250438,-0.21953153325444674
2022-05-01,Miscellaneous retailers,447797,9.423215079880954
2022-06-01,All Retail Trade,9665967,4.98779537150611
2022-06-01,Motor vehicle and parts dealers,2180169,-8.579600658008124
2022-06-01,Building material and garden equipment and supplies dealers,657267,-6.23237221325823
2022-06-01,Food and beverage retailers,1978466,4.398092571593204
2022-06-01,"Furniture, home furnishings stores, electronics and appliances retailers",554942,4.573840616579039
2022-06-01,General merchandise retailers,1088558,11.692224029222098
2022-06-01,Health and personal care retailers,616149,-1.1558440308396145
2022-06-01,Gasoline stations and fuel vendors,1247681,44.22140409078561
